,id,name,members,link
0,1818144,HaskellerZ,470,https://www.meetup.com/HaskellerZ/
1,2794852,Zurich FSharp Users,190,https://www.meetup.com/zurich-fsharp-users/
2,5759962,Quantified Self Zürich,702,https://www.meetup.com/Quantified-Self-Zurich/
3,6569732,Pantalks - tech & non-tech talks @ Colab Zürich,2393,https://www.meetup.com/Pantalks-tech-non-tech-talks-Panter-AG-Zurich/
4,7229552,Game Developers Zurich,1188,https://www.meetup.com/Game-Developers-Zurich/
5,7646592,Elastic Switzerland,1148,https://www.meetup.com/elastic-switzerland/
6,7797992,TECH TUESDAY Zurich,2739,https://www.meetup.com/Tech-Tuesday-Zurich/
7,8170522,OpenTechSchool Zurich,2500,https://www.meetup.com/opentechschool-zurich/
8,8278642,Bitcoin Meetup Switzerland,7121,https://www.meetup.com/Bitcoin-Meetup-Switzerland/
9,9582982,Python User Group Freiburg,554,https://www.meetup.com/Python-User-Group-Freiburg/
10,10347072,AWS UserGroup Stuttgart,912,https://www.meetup.com/AWS-UserGroup-Stuttgart/
11,11090922,GDG Zürich,1342,https://www.meetup.com/GDG-Zurich/
12,11102042,UX WIZARDS,755,https://www.meetup.com/uxhappyhour/
13,11103682,Game Developers Suisse Romande,467,https://www.meetup.com/Game-Developers-Suisse-Romande/
14,13279312,SilverStripe Meetup Switzerland,26,https://www.meetup.com/SilverStripe-Meetup-Switzerland/
15,13476342,Software Crafters Zürich,1875,https://www.meetup.com/Software-Craftsmanship-Zurich/
16,13796612,Hackergarten Basel,585,https://www.meetup.com/Hackergarten-Basel/
17,14177862,WordPress Bern,420,https://www.meetup.com/WordPress-Bern/
18,14489982,DEFCON Switzerland (DC4131),318,https://www.meetup.com/DC4131/
19,15241792,Bern Silicon Valley IEVS HackLab Group,554,https://www.meetup.com/Bern-Silicon-Valley-HackLab-Tech-Group/
20,16379942,WebMeetup Bodensee #t3see,311,https://www.meetup.com/web-meetup-bodensee/
21,16810032,Hackergarten Luzern,449,https://www.meetup.com/Hackergarten-Luzern/
22,18250501,.NET Usergroup Zentralschweiz,461,https://www.meetup.com/NET-Usergroup-Zentralschweiz/
23,18450765,Arduino und Elektronik Abend im FabLab Zürich,952,https://www.meetup.com/Arduino-und-Elektronik-Abend-im-FabLab-Zurich/
24,18512629,Zurich Drupal User Group Meetup,347,https://www.meetup.com/Zurich-Drupal-Meetup/
25,18532052,WintiWebDev Talks,431,https://www.meetup.com/WintiWebDev-Talks/
26,18983021,Hackergarten Bern,340,https://www.meetup.com/Hackergarten-Bern/
27,19041196,Data Science Meetup Freiburg,316,https://www.meetup.com/Data-Science-Meetup-Freiburg/
28,19044452,DAMA DACH Networking Group,47,https://www.meetup.com/damadach/
29,19200413,Blockchain Meetup Zürich,2335,https://www.meetup.com/Blockchainers/
30,19270394,Crypto Valley Forum,2804,https://www.meetup.com/Crypto-Valley-Forum/
31,19372895,Zürich Kubernetes Meetup,358,https://www.meetup.com/Kubernetes-Meetup-Zurich/
32,19446607,Women in Digital St. Gallen Meet up,195,https://www.meetup.com/Women-in-Digital-St-Gallen/
33,19491054,Zurich Legal Tech Meetup,883,https://www.meetup.com/Zurich-Legal-Tech-Meetup/
34,19506753,DevOps Meetup Zürich,951,https://www.meetup.com/DevOps-Meetup-Zurich/
35,19716785,Geek Girls Carrots CH: Attracting women to IT,704,https://www.meetup.com/Geek-Girls-Carrots-Switzerland/
36,19730494,CMCE Configuration Manager Community Event,79,https://www.meetup.com/CMCE-Configuration-Manager-Community-Event/
37,19739877,RubyMonstas - Programming for Women,453,https://www.meetup.com/RubyMonstas-Programming-for-Women/
38,19788454,Elm Zürich,228,https://www.meetup.com/Elm-Zurich/
39,19822658,Blockchain Makerspace,911,https://www.meetup.com/blockchainmakerspace/
40,19910523,Blockchain Meet-up Liechtenstein,790,https://www.meetup.com/Blockchain-Meet-up-Liechtenstein/
41,19917892,SeeIT - IT Meetup in Konstanz / Kreuzlingen,245,https://www.meetup.com/SeeIT-IT-Meetup-in-Konstanz-Kreuzlingen/
42,19978662,Blockchain Meetup Freiburg,226,https://www.meetup.com/Blockchain-Meetup-Freiburg/
43,19998223,Web Zürich,1693,https://www.meetup.com/Web-Zurich/
44,20044220,Neos CMS and Flow Framework Meetup Swiss,61,https://www.meetup.com/Neos-CMS-and-Flow-Framework-Meetup-Swiss/
45,20129030,Camunda User Group Schweiz,81,https://www.meetup.com/Camunda-User-Group-Schweiz/
46,20218819,WordPress Meetup Baden,146,https://www.meetup.com/WordPress-Baden/
47,20270306,Google Developer Group Fribourg (GDG Fribourg),387,https://www.meetup.com/GDGFribourg/
48,20441554,Angular Basel,244,https://www.meetup.com/Angular-Basel/
