,id,name,members,link
81,31150209,Deep Learning Zurich (DLZH),415,https://www.meetup.com/Deep-Learning-Zurich-DLZH/
82,31210267,Y7K Bistro,154,https://www.meetup.com/Y7K-Bistro/
83,31219627,Zürich Blockchain Open Coffee,194,https://www.meetup.com/Zurich-Blockchain-Open-Coffee/
84,31270353,"Oyoba, Let's Build the Banking of the Future, Together",82,https://www.meetup.com/Oyoba-building-the-future-of-banking-together/
85,31303696,Robotics and ROS in Zurich,222,https://www.meetup.com/Robotics-and-ROS-in-Zurich/
86,31320365,Trans4mation SWISS AG Networking,19,https://www.meetup.com/Trans4mation-SWISS-AG-Networking/
87,31761969,Swiss Cloud Security Alliance (CSA) Chapter - Zürich area,64,https://www.meetup.com/Cloud-Security-Alliance-CSA-Chapter/
88,31838175,Data Visualization Zürich,248,https://www.meetup.com/datavis-zurich/
89,31900931,UX ROI Zürich,25,https://www.meetup.com/UX-ROI-Zurich/
90,31912928,Zürich UX Research Guild,65,https://www.meetup.com/zurich-ux-research-guild/
91,31946434,Agile Baden (CH),25,https://www.meetup.com/Agile-Baden-CH/
92,32010407,Software Artisans,58,https://www.meetup.com/Software-Artisans/
93,32098343,CryptoMonday | Blockchain Zurich,45,https://www.meetup.com/CryptoMonday-Blockchain-Zurich/
