,id,name,event_url,rsvp_limit,yes_rsvp_count,time,venue_id,venue_name,address,city,lat,lon,country,group_id,group_urlname
173,261099193,AWS User Group Freiburg: Meetup Oktober 2019,https://www.meetup.com/AWS-User-Group-Freiburg/events/261099193/,60.0,5,1570640400000,25263887.0,Humboldtsaal / Reservix,Humboldtsraße 2,Freiburg,47.99333,7.848315,de,29472393,AWS-User-Group-Freiburg
174,mxsmnqyznbtb,Monatliches Industrie 4.0 und IOT Meetup,https://www.meetup.com/Stuttgart-Industrie-4-0-und-IoT-Meetup/events/261508129/,60.0,4,1571155200000,24599344.0,Red Hat GmbH ,"2. Stock Wankelstraße 5, 70563 Stuttgart",Stuttgart,48.73748,9.11152,de,18870242,Stuttgart-Industrie-4-0-und-IoT-Meetup
175,262873573,9. DevOps Meetup Bern,https://www.meetup.com/DevOps-Bern/events/262873573/,80.0,19,1571155200000,26496152.0,"Postomat Bern, PostFinance Hauptsitz",Mingerstrasse 20,Bern,46.957012,7.467946,ch,23466706,DevOps-Bern
176,259624205,Assistenten: hilf mir und nerv mich nicht!,https://www.meetup.com/Mobilitats-Meetup/events/259624205/,50.0,8,1571316300000,,,,,,,,27603198,Mobilitats-Meetup
177,260088722,Hands-On with Microsoft Cognitive Services,https://www.meetup.com/AI-for-Intelligent-Cloud-Zurich/events/260088722/,,10,1571760000000,26093847.0,Digicomp Academy AG,Limmatstrasse 50,Zürich,47.382008,8.535454,ch,30507802,AI-for-Intelligent-Cloud-Zurich
178,262577353,14th Power BI User Group Meetup,https://www.meetup.com/Power-BI-User-Group-Switzerland/events/262577353/,80.0,37,1571846400000,24267238.0,Microsoft,Richtistrasse 3,Wallisellen,47.40886,8.590847,ch,19234236,Power-BI-User-Group-Switzerland
179,262845191,MyData SwissID Hands-on Workshop,https://www.meetup.com/MyData-Zurich/events/262845191/,30.0,8,1571932800000,26056921.0,Impact Hub Zürich - Colab,Sihlquai 131,Zürich,47.384686,8.533229,ch,31547074,MyData-Zurich
180,258556310,SharePoint & Office 365 Community Meetup 4/2019,https://www.meetup.com/SharePointCommunitySchweiz/events/258556310/,,3,1572537600000,,,,,,,,19797861,SharePointCommunitySchweiz
181,258893434,BATbern 44 Chatbots,https://www.meetup.com/BATBern/events/258893434/,220.0,34,1572620400000,24561771.0,Zentrum Paul Klee ,Monument im fruchtland 3 ,Bern,46.94889,7.474099,ch,28437177,BATBern
182,262253744,Hack'n'Lead 2019: Switzerland's women-friendly hackathon,https://www.meetup.com/womenplusplus/events/262253744/,,5,1572678000000,26451526.0,Careum Stiftung,Pestalozzistrasse 3,Zürich,47.37491,8.55364,ch,25517536,womenplusplus
183,261845850,Devfest Strasbourg 2019,https://www.meetup.com/GDG-Strasbourg/events/261845850/,,3,1573027200000,26420347.0,Cci Campus,234 Avenue de Colmar,Strasbourg,48.554726,7.745104,fr,28980090,GDG-Strasbourg
184,256777052,17th Fribourg Linux Seminar,https://www.meetup.com/Fribourg-Linux-Seminar/events/256777052/,,9,1573141500000,25979049.0,Haute école d'ingénierie et d'architecture,Pérolles 80,Fribourg,46.79282,7.159753,ch,30423693,Fribourg-Linux-Seminar
185,260564609,NEW QUANT EVENT!  ,https://www.meetup.com/Quant-People-in-Zurich/events/260564609/,,9,1573146000000,26021872.0,Zürich,,Zürich,47.37689,8.541694,ch,29850772,Quant-People-in-Zurich
186,gcdnlqyzpblc,Blockchain meetup,https://www.meetup.com/Azure-Blockchain-Zurich/events/258207209/,80.0,6,1573147800000,24888118.0,Digicomp Academy AG,Limmatstrasse 50,Zürich,47.38191,8.5357,ch,26357880,Azure-Blockchain-Zurich
187,260779675,Blockchain & Crypto Conference in Zug - End of 2019 (TBD),https://www.meetup.com/Crypto-World-Zug/events/260779675/,,8,1573286400000,26337164.0,Kulturzentrum Galvanik Zug,Chamerstrasse 173,Zug,47.181355,8.483966,ch,27879127,Crypto-World-Zug
188,262443101,Guests: Esther Derby & Don Gray - Redefining Leadership,https://www.meetup.com/Meetup-of-Test/events/262443101/,,24,1573579800000,24037397.0,Ergon Informatik AG,Merkurstrasse 43,Zürich,47.36735,8.5544,ch,18519439,Meetup-of-Test
189,259624317,(Vorläufig) Roboter: Imagepflege,https://www.meetup.com/Mobilitats-Meetup/events/259624317/,50.0,5,1574343900000,26046743.0,INNOSpace,Gurtenbrauerei 31,Köniz,46.927868,7.445703,ch,27603198,Mobilitats-Meetup
190,261998425,"Pantalks: AI mornings with Anna Ukhanova, Senior Research Program Manager AI/ML",https://www.meetup.com/Pantalks-tech-non-tech-talks-Panter-AG-Zurich/events/261998425/,,30,1574751600000,26056921.0,Impact Hub Zürich - Colab,Sihlquai 131,Zürich,47.384686,8.533229,ch,6569732,Pantalks-tech-non-tech-talks-Panter-AG-Zurich
191,261224916,Versicherungen in der digitalen Zeit - Was sind die Erfolgsfaktoren?,https://www.meetup.com/Agile-Breakfast-Luzern/events/261224916/,80.0,7,1574926200000,26371690.0,Suva Hauptsitz,Fluhmattstrasse 1,Luzern,47.0565,8.309549,ch,18778685,Agile-Breakfast-Luzern
192,259624522,"Next problem, please",https://www.meetup.com/Mobilitats-Meetup/events/259624522/,50.0,7,1575553500000,26046743.0,INNOSpace,Gurtenbrauerei 31,Köniz,46.927868,7.445703,ch,27603198,Mobilitats-Meetup
193,gcdnlqyzqbjc,Blockchain meetup,https://www.meetup.com/Azure-Blockchain-Zurich/events/256172186/,80.0,6,1576171800000,24888118.0,Digicomp Academy AG,Limmatstrasse 50,Zürich,47.38191,8.5357,ch,26357880,Azure-Blockchain-Zurich
194,258199634,Jahresendmeetup - Monatliches Meetup Dezember,https://www.meetup.com/Cybersecurity-Liechtenstein/events/258199634/,,3,1577523600000,25664537.0,Universität Liechtenstein,Fabrikweg,Vaduz,47.149555,9.517039,li,21252257,Cybersecurity-Liechtenstein
195,256777101,18th Fribourg Linux Seminar,https://www.meetup.com/Fribourg-Linux-Seminar/events/256777101/,,5,1589467500000,25979049.0,Haute école d'ingénierie et d'architecture,Pérolles 80,Fribourg,46.79282,7.159753,ch,30423693,Fribourg-Linux-Seminar
