,id,rating_count,rating,address_1,city,localized_country_name,lon,lat
152,24805148,0,0.0,Neumuehlequai 42,Zürich,Germany,8.540407,47.382484
153,24825558,0,0.0,Neumuehlequai 42 42,Zürich,Germany,8.540407,47.382484
154,12023882,4,4.5,Hauptbahnhof Zürich,Zürich,Switzerland,8.539606,47.377501
155,1524827,4,4.5,Bahnhofplatz 15,Zürich,Switzerland,8.540151,47.377483
156,25547663,0,0.0,Bahnhofplatz 15h ,8001 Zürich,Switzerland,8.540151,47.377483
157,18325552,3,4.67," Bahnhofplatz 15,",Zürich,Switzerland,8.54015,47.37748
158,23607583,0,0.0,Bahnhofplatz 15 ,Zürich,Switzerland,8.54015,47.37748
159,18110842,2,5.0,Bahnhofplatz 15,Zürich,Switzerland,8.54015,47.37748
160,23968305,1,5.0,"Bahnhofplatz 15, 8001",Zürich,Switzerland,8.54015,47.37748
161,23628324,1,4.0,Bahnhofplatz 15,Zürich,Switzerland,8.54015,47.37748
162,20685012,0,0.0,Bahnhofplatz 15,Zürich,Switzerland,8.54015,47.37748
163,17473172,1,5.0,Banhofplatz 15,Zürich,Switzerland,8.54015,47.37748
164,23605604,0,0.0,Bahnhofplatz 15,8001 Zürich,Switzerland,8.54015,47.37748
165,9800322,8,4.75,Zurich city,Zürich,Switzerland,8.539896,47.377445
166,3484602,0,0.0,"Walcheplatz 12, 8049 ZÃ¼rich",ZÃ¼rich,Switzerland,8.543073,47.37851
167,3484692,1,5.0,"Walcheplatz 12, 8049 Zuerich",Zuerich,Switzerland,8.543073,47.37851
168,17064572,57,4.82,"Hauptbahnhof City, 8001 Zurich, Switzerland, Zürich",Zürich,Switzerland,8.539694,47.377445
169,15392042,0,0.0,Hauptbahnhof Zurich,Zürich,Switzerland,8.539694,47.377445
170,12879102,37,4.84,Hauptbahnhof,8001 Zürich,Switzerland,8.539694,47.377445
171,17008942,0,0.0,"Hauptbahnhof City, 8001 Zurich",Zürich,Switzerland,8.539694,47.377445
172,16826122,0,0.0,Hauptbahnhof,Zürich,Switzerland,8.539694,47.377445
173,16374842,2,5.0,Hauptbahnhof,8001 Zürich,Switzerland,8.539694,47.377445
174,20411362,0,0.0,Nemühlequai 12,Zürich,Switzerland,8.54292,47.378361
175,23868327,0,0.0,Neumuehlequai 42,Zürich,Switzerland,8.54035,47.382568
176,25905840,0,0.0,"Restaurant Au Premier, Jagdzimmerrma, Bahnhofplatz 15, 8001 Zürich ",Zürich,Switzerland,8.540272,47.377415
177,25545543,2,3.0,"Neumühlequai 42, 8006 Zurich",Zürich,Switzerland,8.540484,47.382572
178,21311712,0,0.0,Zürich HB,Zürich,Switzerland,8.5394,47.377441
179,20824432,0,0.0,Zürich main station,Zürich,Switzerland,8.5394,47.377441
