,id,name,event_url,rsvp_limit,yes_rsvp_count,time,city,group_id,group_urlname
114,262060256,"CryptoMonday | ""There is no Blockchain"" and the need of Business Blockchains",https://www.meetup.com/CryptoMonday-Blockchain-Zurich/events/262060256/,,16,1562000400000,Zürich,32098343,CryptoMonday-Blockchain-Zurich
115,tdxfslyzkbcb,"Tolles Projekt ? ""Technische Probleme"" ? Nur hereinspaziert.",https://www.meetup.com/Arduino-und-Elektronik-Abend-im-FabLab-Zurich/events/261010079/,,4,1562000400000,Zürich,18450765,Arduino-und-Elektronik-Abend-im-FabLab-Zurich
116,260794474,DevOps Value Stream Mapping: Experiences and Learnings,https://www.meetup.com/DevOps-Meetup-Zurich/events/260794474/,,13,1562081400000,Schlieren,19506753,DevOps-Meetup-Zurich
117,262268446,Infrastructure as TypeScript with James Nugent,https://www.meetup.com/NET-Usergroup-Zentralschweiz/events/262268446/,,10,1562083200000,Luzern,18250501,NET-Usergroup-Zentralschweiz
118,261893279,Soziokratie kennenlernen - Zusammenarbeit gemeinsam gestalten,https://www.meetup.com/New-Ways-Of-Working/events/261893279/,,4,1562085000000,Zürich,29585304,New-Ways-Of-Working
119,gvsjxqyzkbdb,"Learn programming with Python, Java, Javascript, C(++) or ...",https://www.meetup.com/opentechschool-zurich/events/262250683/,20.0,3,1562086800000,Zürich,8170522,opentechschool-zurich
120,frtjxqyzkbdb,"Practice your programming skills with Python, Javascript, Java, C(++) or ...",https://www.meetup.com/opentechschool-zurich/events/261844814/,,3,1562086800000,Zürich,8170522,opentechschool-zurich
121,jjtjwqyzkbdb,Regular Tuesday WoSEC meetup,https://www.meetup.com/WIST-Women-in-Security-and-Tech-Zurich/events/261251692/,,4,1562086800000,,30876143,WIST-Women-in-Security-and-Tech-Zurich
122,262089591,"Agilität, jenseits von Frameworks und Prozessen",https://www.meetup.com/Agile-Breakfast-Zurich/events/262089591/,50.0,39,1562134500000,8048 Zürich,21644552,Agile-Breakfast-Zurich
123,261482796,Discussion: What are your favorite data visualization books?,https://www.meetup.com/datavis-zurich/events/261482796/,30.0,14,1562148000000,Zürich,31838175,datavis-zurich
124,261598199,Public Cloud im öffentlichen Sektor - Von der Theorie zur Praxis,https://www.meetup.com/AWS-Swiss-User-Group-Bern/events/261598199/,,33,1562162400000,Bern,18988197,AWS-Swiss-User-Group-Bern
125,262106556,To JAR Hell And Back - A Live Migration to Java 11,https://www.meetup.com/ElsassJUG/events/262106556/,,10,1562169600000,Strasbourg,18525937,ElsassJUG
126,262035278,ux.feierabend.beer #17: Summer Edition,https://www.meetup.com/ux-feierabend-beer-Bern/events/262035278/,20.0,10,1562169600000,Bern,18577026,ux-feierabend-beer-Bern
127,261997013,Work-Life Balance & Personal Growth in Product,https://www.meetup.com/ProductTank-Bern/events/261997013/,50.0,33,1562169600000,Bern,26414199,ProductTank-Bern
128,dftzplyzkbfb,UX Happy Hour,https://www.meetup.com/uxhappyhour/events/261462993/,,5,1562171400000,,11102042,uxhappyhour
129,261324668,Christian Pfisterer über Azure IoT: Storages,https://www.meetup.com/dnugFN/events/261324668/,30.0,11,1562171400000,Friedrichshafen,21305282,dnugFN
130,259771587,Christian Pfisterer über Azure IoT: Storages,https://www.meetup.com/Azure-Meetup-Bodensee/events/259771587/,50.0,17,1562171400000,Friedrichshafen,30729924,Azure-Meetup-Bodensee
131,261668949,№ 8,https://www.meetup.com/vue_zurich/events/261668949/,,6,1562171400000,,27983448,vue_zurich
