,id,name,event_url,rsvp_limit,yes_rsvp_count,time,city,group_id,group_urlname
92,qcddnqyzkbqb,Crypto Friday - Wine & Vision,https://www.meetup.com/CV-Labs-Switzerland/events/261813583/,90.0,4,1562943600000,Zug,27342970,CV-Labs-Switzerland
93,jqfsxqyzkbxb,Neos CMS - Monthly regulars' table in Zurich,https://www.meetup.com/Neos-CMS-and-Flow-Framework-Meetup-Swiss/events/261616507/,20.0,4,1563465600000,Zürich,20044220,Neos-CMS-and-Flow-Framework-Meetup-Swiss
94,261926585,Angular PWA : the technology & pitfalls ,https://www.meetup.com/Zurich-Progressive-Web-App-Meetup/events/261926585/,,4,1563985800000,Zürich,27120674,Zurich-Progressive-Web-App-Meetup
95,262312045,PWA with Angular,https://www.meetup.com/AngularZRH/events/262312045/,,5,1563985800000,,12710702,AngularZRH
96,qcddnqyzkbjc,Crypto Friday - Wine & Vision,https://www.meetup.com/CV-Labs-Switzerland/events/261813518/,90.0,3,1564153200000,Zug,27342970,CV-Labs-Switzerland
97,261482996,Presentation: Accessible Data Visualization by Luc Guillemot & Tania Boa,https://www.meetup.com/datavis-zurich/events/261482996/,30.0,22,1565103600000,Zürich,31838175,datavis-zurich
98,dftzplyzlbkb,UX Happy Hour,https://www.meetup.com/uxhappyhour/events/262238108/,,3,1565195400000,,11102042,uxhappyhour
99,259591897,React Zurich August Meetup,https://www.meetup.com/Zurich-ReactJS-Meetup/events/259591897/,50.0,28,1565197200000,Zürich,18405138,Zurich-ReactJS-Meetup
100,258073541,August Meetup for the Azure Pro Workgroup,https://www.meetup.com/Azure-Professional-Workgroup/events/258073541/,,6,1566230400000,Zürich,29454575,Azure-Professional-Workgroup
101,261608814,CMCE 1908,https://www.meetup.com/CMCE-Configuration-Manager-Community-Event/events/261608814/,1.0,1,1566540000000,Zürich,19730494,CMCE-Configuration-Manager-Community-Event
102,261656335,Meetup #4: Voice Control in Products & Services,https://www.meetup.com/Zurich-Voice-Meetup/events/261656335/,100.0,6,1566837000000,Zürich,30538328,Zurich-Voice-Meetup
103,260088648,Introduction to Deep Learning,https://www.meetup.com/AI-for-Intelligent-Cloud-Zurich/events/260088648/,,36,1566921600000,Zürich,30507802,AI-for-Intelligent-Cloud-Zurich
104,258755139,Lean Change Management Meetup,https://www.meetup.com/Zurich-Lean-Change-Management-Meetup/events/258755139/,25.0,4,1567094400000,,22191076,Zurich-Lean-Change-Management-Meetup
105,261286923,Cloud Native Computing Meetup | August 2019,https://www.meetup.com/Cloud-Native-Computing-Switzerland/events/261286923/,100.0,24,1567094400000,,23123972,Cloud-Native-Computing-Switzerland
106,gcdnlqyzlbmc,Blockchain meetup,https://www.meetup.com/Azure-Blockchain-Zurich/events/256172659/,80.0,5,1567096200000,Zürich,26357880,Azure-Blockchain-Zurich
107,261996839,WWD Meetup September,https://www.meetup.com/WintiWebDev-Talks/events/261996839/,,5,1567441800000,,18532052,WintiWebDev-Talks
108,262027939,Cloud Native,https://www.meetup.com/Microservices-Zurich/events/262027939/,50.0,20,1567614600000,Wallisellen / Zürich,19464889,Microservices-Zurich
109,xdzhgqyzmbhb,Coders Monthly,https://www.meetup.com/coders-only-zurich/events/262222550/,,3,1567702800000,Zürich,7251112,coders-only-zurich
110,259700952,Trust Square Lecture Series - Economics of Decentralized Virtual Properties,https://www.meetup.com/Trust-Square-Blockchain-Swiss-Made/events/259700952/,,10,1568131200000,Zürich,28411105,Trust-Square-Blockchain-Swiss-Made
111,258261977,Autumn TypeScript Meetup,https://www.meetup.com/TypeScript-Switzerland/events/258261977/,20.0,5,1568219400000,,20057281,TypeScript-Switzerland
112,261997999,BUSINESS BREAKFAST - Communication & Endpoint Security,https://www.meetup.com/Trans4mation-SWISS-AG-Networking/events/261997999/,30.0,3,1568871000000,Zürich,31320365,Trans4mation-SWISS-AG-Networking
113,261536380,World Interaction Design Day (IxDD) 2019,https://www.meetup.com/IxDA-Zurich/events/261536380/,,9,1569308400000,,7717752,IxDA-Zurich
114,ssbdfqyzmbjc,1. Meet up Lean Change Management,https://www.meetup.com/Zurich-Lean-Change-Management-Meetup/events/261506025/,20.0,3,1569513600000,,22191076,Zurich-Lean-Change-Management-Meetup
115,gcdnlqyzmbjc,Blockchain meetup,https://www.meetup.com/Azure-Blockchain-Zurich/events/256172679/,80.0,4,1569515400000,Zürich,26357880,Azure-Blockchain-Zurich
116,dftzplyznbdb,UX Happy Hour,https://www.meetup.com/uxhappyhour/events/261454641/,,3,1570033800000,,11102042,uxhappyhour
117,260088722,Hands-On with Microsoft Cognitive Services,https://www.meetup.com/AI-for-Intelligent-Cloud-Zurich/events/260088722/,,8,1571760000000,Zürich,30507802,AI-for-Intelligent-Cloud-Zurich
118,262253744,Hack'n'Lead 2019: Switzerland's women-friendly hackathon,https://www.meetup.com/womenplusplus/events/262253744/,,5,1572678000000,Zürich,25517536,womenplusplus
119,260564609,NEW QUANT EVENT!  ,https://www.meetup.com/Quant-People-in-Zurich/events/260564609/,,7,1573146000000,Zürich,29850772,Quant-People-in-Zurich
120,gcdnlqyzpblc,Blockchain meetup,https://www.meetup.com/Azure-Blockchain-Zurich/events/258207209/,80.0,6,1573147800000,Zürich,26357880,Azure-Blockchain-Zurich
121,260779675,Blockchain & Crypto Conference in Zug - End of 2019 (TBD),https://www.meetup.com/Crypto-World-Zug/events/260779675/,,9,1573286400000,Zug,27879127,Crypto-World-Zug
122,261998425,"Pantalks: AI mornings with Anna Ukhanova, Senior Research Program Manager AI/ML",https://www.meetup.com/Pantalks-tech-non-tech-talks-Panter-AG-Zurich/events/261998425/,,21,1574751600000,Zürich,6569732,Pantalks-tech-non-tech-talks-Panter-AG-Zurich
123,261224916,Versicherungen in der digitalen Zeit - Was sind die Erfolgsfaktoren?,https://www.meetup.com/Agile-Breakfast-Luzern/events/261224916/,80.0,6,1574926200000,Luzern,18778685,Agile-Breakfast-Luzern
124,gcdnlqyzqbjc,Blockchain meetup,https://www.meetup.com/Azure-Blockchain-Zurich/events/256172186/,80.0,6,1576171800000,Zürich,26357880,Azure-Blockchain-Zurich
