,id,name,members,link,topics
10,11090922,GDG Zürich,1350,https://www.meetup.com/GDG-Zurich/,"[{'urlkey': 'softwaredev', 'name': 'Software Development', 'id': 3833}, {'urlkey': 'web-development', 'name': 'Web Development', 'id': 15582}, {'urlkey': 'android', 'name': 'Android', 'id': 19724}, {'urlkey': 'android-developers', 'name': 'Android Development', 'id': 20346}, {'urlkey': 'mobile-development', 'name': 'Mobile Development', 'id': 21441}, {'urlkey': 'gtug', 'name': 'GTUG', 'id': 24001}, {'urlkey': 'google-technology-user-group', 'name': 'Google Technology User Group', 'id': 27790}, {'urlkey': 'internet-of-things', 'name': 'Internet of Things', 'id': 79740}, {'urlkey': 'appengine', 'name': 'App Engine', 'id': 104553}, {'urlkey': 'google-developer-group', 'name': 'Google Developer Group', 'id': 989262}, {'urlkey': 'firebase', 'name': 'Firebase', 'id': 1477452}, {'urlkey': 'flutter', 'name': 'Flutter', 'id': 1515084}]"
11,11102042,UX WIZARDS,769,https://www.meetup.com/uxhappyhour/,"[{'urlkey': 'webdesign', 'name': 'Web Design', 'id': 659}, {'urlkey': 'gui', 'name': 'Graphical User Interfaces', 'id': 1081}, {'urlkey': 'ixd', 'name': 'Interaction Design', 'id': 10110}, {'urlkey': 'web-development', 'name': 'Web Development', 'id': 15582}, {'urlkey': 'user-experience', 'name': 'User Experience', 'id': 19243}, {'urlkey': 'usability', 'name': 'Usability', 'id': 26938}, {'urlkey': 'user-research', 'name': 'User Research', 'id': 49541}, {'urlkey': 'ux-design', 'name': 'UX Design', 'id': 61781}, {'urlkey': 'mobile-design', 'name': 'Mobile Design', 'id': 85534}, {'urlkey': 'ui-design', 'name': 'UI Design', 'id': 107583}, {'urlkey': 'mobile-user-experience', 'name': 'Mobile User Experience', 'id': 122974}, {'urlkey': 'user-experience-research', 'name': 'User experience research', 'id': 1346882}]"
12,11103682,Game Developers Suisse Romande,470,https://www.meetup.com/Game-Developers-Suisse-Romande/,"[{'urlkey': 'gamedev', 'name': 'Game Development', 'id': 496}, {'urlkey': 'gameprog', 'name': 'Game Programming', 'id': 3287}, {'urlkey': 'game-design', 'name': 'Game Design', 'id': 19225}, {'urlkey': '2d-game-development', 'name': '2D Game Development', 'id': 29308}, {'urlkey': 'video-game-entrepreneurs', 'name': 'Video Game Entrepreneurs', 'id': 32996}, {'urlkey': 'independent-game-development', 'name': 'Independent Game Development', 'id': 41896}, {'urlkey': 'indie-games', 'name': 'Indie Games', 'id': 42010}, {'urlkey': 'video-game-development', 'name': 'Video Game Development', 'id': 55145}, {'urlkey': 'video-game-design', 'name': 'Video Game Design', 'id': 83899}, {'urlkey': 'social-game-developers', 'name': 'Social Game Developers', 'id': 94574}, {'urlkey': 'game-production', 'name': 'Game Production', 'id': 96039}, {'urlkey': 'pc-and-console-game-development', 'name': 'PC and Console Game Development', 'id': 126225}, {'urlkey': 'mobile-game-development', 'name': 'Mobile Game Development', 'id': 138175}, {'urlkey': '3d-game-development', 'name': '3D Game Development', 'id': 492172}]"
13,12710702,Angular Zürich,903,https://www.meetup.com/AngularZRH/,"[{'urlkey': 'webstandards', 'name': 'Web Standards', 'id': 417}, {'urlkey': 'opensource', 'name': 'Open Source', 'id': 563}, {'urlkey': 'javascript', 'name': 'JavaScript', 'id': 7029}, {'urlkey': 'web-development', 'name': 'Web Development', 'id': 15582}, {'urlkey': 'computer-programming', 'name': 'Computer programming', 'id': 48471}, {'urlkey': 'html5', 'name': 'HTML5', 'id': 78565}, {'urlkey': 'javascript-frameworks', 'name': 'JavaScript Frameworks', 'id': 85951}, {'urlkey': 'angularjs', 'name': 'AngularJS', 'id': 939612}, {'urlkey': 'javascript-applications', 'name': 'JavaScript Applications', 'id': 964072}]"
14,13476342,Software Crafters Zürich,1895,https://www.meetup.com/Software-Craftsmanship-Zurich/,"[{'urlkey': 'opensource', 'name': 'Open Source', 'id': 563}, {'urlkey': 'softwaredev', 'name': 'Software Development', 'id': 3833}, {'urlkey': 'xp', 'name': 'Extreme Programming', 'id': 5938}, {'urlkey': 'web', 'name': 'Web Technology', 'id': 10209}, {'urlkey': 'software-engineering', 'name': 'Software Engineering', 'id': 16325}, {'urlkey': 'agile-project-management', 'name': 'Agile Project Management', 'id': 21549}, {'urlkey': 'test-driven-development', 'name': 'Test Driven Development', 'id': 25435}, {'urlkey': 'agile-testing', 'name': 'Agile Testing', 'id': 30996}, {'urlkey': 'software-architecture', 'name': 'Software Architecture', 'id': 56473}, {'urlkey': 'software-quality', 'name': 'Software Quality', 'id': 65173}, {'urlkey': 'software-security', 'name': 'Software Security', 'id': 67565}, {'urlkey': 'software-craftsmanship', 'name': 'Software Craftsmanship', 'id': 71692}, {'urlkey': 'agile-coaching', 'name': 'Agile Coaching', 'id': 122939}, {'urlkey': 'agile-leadership', 'name': 'Agile Leadership', 'id': 438272}]"
15,13796612,Hackergarten Basel,588,https://www.meetup.com/Hackergarten-Basel/,"[{'urlkey': 'java', 'name': 'Java', 'id': 189}, {'urlkey': 'opensource', 'name': 'Open Source', 'id': 563}, {'urlkey': 'softwaredev', 'name': 'Software Development', 'id': 3833}, {'urlkey': 'javascript', 'name': 'JavaScript', 'id': 7029}, {'urlkey': 'newtech', 'name': 'New Technology', 'id': 9696}, {'urlkey': 'web', 'name': 'Web Technology', 'id': 10209}, {'urlkey': 'web-development', 'name': 'Web Development', 'id': 15582}, {'urlkey': 'programming-languages', 'name': 'Programming Languages', 'id': 17628}, {'urlkey': 'scala', 'name': 'Scala', 'id': 17936}, {'urlkey': 'hacking', 'name': 'Hacking', 'id': 21123}, {'urlkey': 'mobile-development', 'name': 'Mobile Development', 'id': 21441}, {'urlkey': 'computer-programming', 'name': 'Computer programming', 'id': 48471}, {'urlkey': 'gradle', 'name': 'Gradle', 'id': 412662}, {'urlkey': 'nativescript', 'name': 'NativeScript', 'id': 1509331}, {'urlkey': 'react', 'name': 'React', 'id': 1513059}]"
16,14177862,WordPress Bern,430,https://www.meetup.com/WordPress-Bern/,"[{'urlkey': 'webdesign', 'name': 'Web Design', 'id': 659}, {'urlkey': 'wordpress', 'name': 'WordPress', 'id': 8304}, {'urlkey': 'social-media', 'name': 'Social Media', 'id': 15401}, {'urlkey': 'blogs', 'name': 'Blogging', 'id': 44508}, {'urlkey': 'wordpress-plugins', 'name': 'Wordpress Plugins', 'id': 61800}, {'urlkey': 'wordpress-themes', 'name': 'Wordpress Themes', 'id': 61801}, {'urlkey': 'wordpress-users', 'name': 'WordPress Users', 'id': 92030}, {'urlkey': 'wordpress-for-business', 'name': 'WordPress for Business', 'id': 128880}, {'urlkey': 'wordpress-developers', 'name': 'WordPress Developers', 'id': 198141}]"
17,14243062,Swiss Perl Community Meetup,105,https://www.meetup.com/Swiss-Perl-Community-Meetup/,"[{'urlkey': 'linux', 'name': 'Linux', 'id': 188}, {'urlkey': 'perl', 'name': 'Perl', 'id': 835}, {'urlkey': 'softwaredev', 'name': 'Software Development', 'id': 3833}, {'urlkey': 'web', 'name': 'Web Technology', 'id': 10209}, {'urlkey': 'web-development', 'name': 'Web Development', 'id': 15582}, {'urlkey': 'programming-languages', 'name': 'Programming Languages', 'id': 17628}, {'urlkey': 'computer-programming', 'name': 'Computer programming', 'id': 48471}, {'urlkey': 'perl-scripting', 'name': 'Perl scripting', 'id': 164590}]"
18,14332822,orclapex Stuttgart,143,https://www.meetup.com/orclapex-Stuttgart/,"[{'urlkey': 'programming-languages', 'name': 'Programming Languages', 'id': 17628}, {'urlkey': 'functional-programming', 'name': 'Functional Programming', 'id': 22792}, {'urlkey': 'apex', 'name': 'Apex', 'id': 37581}, {'urlkey': 'computer-programming', 'name': 'Computer programming', 'id': 48471}, {'urlkey': 'oracle-apex-development', 'name': 'Oracle APEX Development', 'id': 1482452}]"
19,14489982,DEFCON Switzerland (DC4131),326,https://www.meetup.com/DC4131/,"[{'urlkey': 'whitehat', 'name': 'White Hat Hacking', 'id': 10009}, {'urlkey': 'web-security', 'name': 'Web Security', 'id': 15471}, {'urlkey': 'network-security', 'name': 'Network Security', 'id': 15472}, {'urlkey': 'hacking', 'name': 'Hacking', 'id': 21123}, {'urlkey': 'information-security', 'name': 'Information Security', 'id': 32743}, {'urlkey': 'defcon', 'name': 'Defcon', 'id': 40134}, {'urlkey': 'computer-programming', 'name': 'Computer programming', 'id': 48471}, {'urlkey': 'application-security', 'name': 'Application Security', 'id': 50280}, {'urlkey': 'ethical-hacker', 'name': 'Ethical Hacker', 'id': 88141}, {'urlkey': 'cloud-security', 'name': 'Cloud Security', 'id': 110474}, {'urlkey': 'computer-security', 'name': 'Computer Security', 'id': 124668}]"
