,id,name,event_url,rsvp_limit,yes_rsvp_count,time,venue_id,venue_name,address,city,lat,lon,country,group_id,group_urlname
0,tjqfqpyxhbsb,Build an IoT low power geo tracker prototype with  open source,https://www.meetup.com/Code4Fun/events/250094212/,25,20,1526311800000,4449302,Prime Tower Zurich, Hardstrasse 201,8005 Zurich,47.3878,8.519415,ch,28264920,Code4Fun
1,253946015,"Infra As Code Terraform Hands On Workshop, Deploy a scalable Web Infrastructure",https://www.meetup.com/Code4Fun/events/253946015/,24,15,1537371000000,4449302,Prime Tower Zurich, Hardstrasse 201,8005 Zurich,47.3878,8.519415,ch,28264920,Code4Fun
2,256381234,(GENEVA) Write your first smart contract on HyperLedger Fabric,https://www.meetup.com/Code4Fun/events/256381234/,40,34,1544117400000,25991752,Oracle Genève WTC II,Route de Pré-Bois 29,Genève,46.22816,6.104381,ch,28264920,Code4Fun
3,257338180,(ZURICH) Write your first smart contract on HyperLedger Fabric,https://www.meetup.com/Code4Fun/events/257338180/,35,26,1548779400000,4449302,Prime Tower Zurich, Hardstrasse 201,8005 Zurich,47.3878,8.519415,ch,28264920,Code4Fun
4,259956761,(ZURICH) GraalVM hands-on with Thomas Wuerthinger,https://www.meetup.com/Code4Fun/events/259956761/,35,33,1555428600000,4449302,Prime Tower Zurich, Hardstrasse 201,8005 Zurich,47.3878,8.519415,ch,28264920,Code4Fun
5,259794926,Data Lineage w. Graph DBs / From active DBs to NoSQL,https://www.meetup.com/Swiss-Data-Circle/events/259794926/,60,23,1557243900000,26204446,Prime Tower,Hardstrasse 201,Zürich,47.385994,8.51714,ch,31154587,Swiss-Data-Circle
6,262092171,"(ZURICH) Get started with Rust, Stack Overflow's most loved language",https://www.meetup.com/Code4Fun/events/262092171/,40,27,1560873600000,4449302,Prime Tower Zurich, Hardstrasse 201,8005 Zurich,47.3878,8.519415,ch,28264920,Code4Fun
